Spartonoica maluroides
Stigmatura budytoides
Stigmatura napensis
Stiltia isabella
Stymphalornis acutirostris
Sublegatus arenarum
Sublegatus modestus
Sublegatus obscurior
Suiriri affinis (islerorum)
Suiriri suiriri
Sylviorthorhynchus desmursii
Synallaxis albescens
Synallaxis albigularis
Synallaxis albilora
Synallaxis azarae
Synallaxis beverlyae
Synallaxis brachyura
Synallaxis cabanisi
Synallaxis candei
Synallaxis castanea
Synallaxis cherriei
Synallaxis cinerascens
Synallaxis cinerea
Synallaxis cinnamomea
Synallaxis courseni
Synallaxis erythrothorax
Synallaxis frontalis
Synallaxis fuscorufa
Synallaxis gujanensis
Synallaxis hellmayri
Synallaxis hypochondriaca
Synallaxis hypospodia
Synallaxis infuscata
Synallaxis kollari
Synallaxis macconnelli
Synallaxis maranonica
Synallaxis moesta
Synallaxis ruficapilla
Synallaxis rutilans
Synallaxis scutata
Synallaxis spixi
Synallaxis stictothorax
Synallaxis subpudica
Synallaxis tithys
Synallaxis unirufa
Synallaxis whitneyi
Synallaxis zimmeri
Syndactyla dimidiata
Syndactyla guttulata
Syndactyla roraimae
Syndactyla ruficollis
Syndactyla rufosuperciliata
Syndactyla striata
Syndactyla subalaris
Syndactyla ucayalae
Tachuris rubrigastra
Taeniotriccus andrei
Taraba major
Tarphonomus certhioides
Tarphonomus harterti
Teledromas fuscus
Terenotriccus erythrurus
Terenura maculata
Terenura sicki
Thamnistes anabatinus
Thamnomanes ardesiacus
Thamnomanes caesius
Thamnomanes saturninus
Thamnomanes schistogynus
Thamnophilus aethiops
Thamnophilus amazonicus
Thamnophilus ambiguus
Thamnophilus aroyae
Thamnophilus atrinucha
Thamnophilus bernardi
Thamnophilus bridgesi
Thamnophilus caerulescens
Thamnophilus cryptoleucus
Thamnophilus divisorius
Thamnophilus doliatus
Thamnophilus insignis
Thamnophilus melanonotus
Thamnophilus melanothorax
Thamnophilus multistriatus
Thamnophilus murinus
Thamnophilus nigriceps
Thamnophilus nigrocinereus
Thamnophilus palliatus
Thamnophilus pelzelni
Thamnophilus praecox
Thamnophilus punctatus
Thamnophilus ruficapillus
Thamnophilus schistaceus
Thamnophilus stictocephalus
Thamnophilus sticturus
